Date,Year,Quarter,UK Region,LAD Code,Local Authority,Resettlement Scheme,Persons
2015-10-01,2015,4,Scotland,S12000015,Fife,Vulnerable Persons Resettlement Scheme,13
2015-10-01,2015,4,Scotland,S12000046,Glasgow City,Vulnerable Persons Resettlement Scheme,41
2015-10-01,2015,4,Scotland,S12000018,Inverclyde,Vulnerable Persons Resettlement Scheme,14
2015-10-01,2015,4,Scotland,S12000021,North Ayrshire,Vulnerable Persons Resettlement Scheme,12
2015-10-01,2015,4,Scotland,S12000044,North Lanarkshire,Vulnerable Persons Resettlement Scheme,35
2015-10-01,2015,4,Scotland,S12000024,Perth and Kinross,Vulnerable Persons Resettlement Scheme,25
2015-10-01,2015,4,Scotland,S12000038,Renfrewshire,Vulnerable Persons Resettlement Scheme,43
2015-10-01,2015,4,Scotland,S12000029,South Lanarkshire,Vulnerable Persons Resettlement Scheme,9
2015-10-01,2015,4,Scotland,S12000039,West Dunbartonshire,Vulnerable Persons Resettlement Scheme,49
2015-10-01,2015,4,South East,E07000105,Ashford,Vulnerable Persons Resettlement Scheme,14
2015-10-01,2015,4,South East,E07000084,Basingstoke and Deane,Vulnerable Persons Resettlement Scheme,2
2015-10-01,2015,4,South East,E06000043,Brighton and Hove,Vulnerable Persons Resettlement Scheme,9
2015-10-01,2015,4,South East,E07000178,Oxford,Vulnerable Persons Resettlement Scheme,9
2015-10-01,2015,4,South East,E06000045,Southampton,Vulnerable Persons Resettlement Scheme,6
2015-10-01,2015,4,South East,E07000116,Tunbridge Wells,Vulnerable Persons Resettlement Scheme,9
2015-10-01,2015,4,South East,E07000181,West Oxfordshire,Vulnerable Persons Resettlement Scheme,10
2015-10-01,2015,4,South East,E07000094,Winchester,Vulnerable Persons Resettlement Scheme,4
2015-10-01,2015,4,South East,E07000217,Woking,Vulnerable Persons Resettlement Scheme,9
2015-10-01,2015,4,South West,E06000022,Bath and North East Somerset,Vulnerable Persons Resettlement Scheme,7
2015-10-01,2015,4,South West,E07000078,Cheltenham,Vulnerable Persons Resettlement Scheme,6
2015-10-01,2015,4,South West,E07000081,Gloucester,Vulnerable Persons Resettlement Scheme,4
2015-10-01,2015,4,South West,E06000026,Plymouth,Vulnerable Persons Resettlement Scheme,10
2015-10-01,2015,4,South West,E06000054,Wiltshire,Vulnerable Persons Resettlement Scheme,27
2015-10-01,2015,4,Wales,W06000018,Caerphilly,Vulnerable Persons Resettlement Scheme,3
2015-10-01,2015,4,Wales,W06000008,Ceredigion,Vulnerable Persons Resettlement Scheme,10
2015-10-01,2015,4,Wales,W06000012,Neath Port Talbot,Vulnerable Persons Resettlement Scheme,22
2015-10-01,2015,4,Wales,W06000020,Torfaen,Vulnerable Persons Resettlement Scheme,10
2015-10-01,2015,4,West Midlands,E08000025,Birmingham,Vulnerable Persons Resettlement Scheme,9
2015-10-01,2015,4,West Midlands,E08000026,Coventry,Vulnerable Persons Resettlement Scheme,60
2015-10-01,2015,4,Yorkshire and The Humber,E08000032,Bradford,Vulnerable Persons Resettlement Scheme,50
2015-10-01,2015,4,Yorkshire and The Humber,E08000033,Calderdale,Vulnerable Persons Resettlement Scheme,9
2015-10-01,2015,4,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",Vulnerable Persons Resettlement Scheme,5
2015-10-01,2015,4,Yorkshire and The Humber,E08000034,Kirklees,Vulnerable Persons Resettlement Scheme,11
2015-10-01,2015,4,Yorkshire and The Humber,E08000035,Leeds,Vulnerable Persons Resettlement Scheme,50
2015-10-01,2015,4,Yorkshire and The Humber,E08000019,Sheffield,Vulnerable Persons Resettlement Scheme,27
2016-01-01,2016,1,East of England,E07000071,Colchester,Vulnerable Persons Resettlement Scheme,5
2016-01-01,2016,1,East of England,E07000202,Ipswich,Vulnerable Persons Resettlement Scheme,8
2016-01-01,2016,1,East of England,E07000243,Stevenage,Vulnerable Persons Resettlement Scheme,5
2016-01-01,2016,1,London,E09000003,Barnet,Vulnerable Persons Resettlement Scheme,6
2016-01-01,2016,1,London,E09000021,Kingston upon Thames,Vulnerable Persons Resettlement Scheme,3
2016-01-01,2016,1,North East,E08000037,Gateshead,Vulnerable Persons Resettlement Scheme,12
2016-01-01,2016,1,North East,E08000021,Newcastle upon Tyne,Vulnerable Persons Resettlement Scheme,14
2016-01-01,2016,1,Scotland,S12000033,Aberdeen City,Vulnerable Persons Resettlement Scheme,30
2016-01-01,2016,1,Scotland,S12000034,Aberdeenshire,Vulnerable Persons Resettlement Scheme,32
2016-01-01,2016,1,Scotland,S12000041,Angus,Vulnerable Persons Resettlement Scheme,6
2016-01-01,2016,1,Scotland,S12000035,Argyll and Bute,Vulnerable Persons Resettlement Scheme,23
2016-01-01,2016,1,Scotland,S12000036,City of Edinburgh,Vulnerable Persons Resettlement Scheme,3
2016-01-01,2016,1,Scotland,S12000008,East Ayrshire,Vulnerable Persons Resettlement Scheme,4
2016-01-01,2016,1,Scotland,S12000010,East Lothian,Vulnerable Persons Resettlement Scheme,9
2016-01-01,2016,1,Scotland,S12000015,Fife,Vulnerable Persons Resettlement Scheme,5
2016-01-01,2016,1,Scotland,S12000046,Glasgow City,Vulnerable Persons Resettlement Scheme,10
2016-01-01,2016,1,Scotland,S12000019,Midlothian,Vulnerable Persons Resettlement Scheme,10
2016-01-01,2016,1,Scotland,S12000020,Moray,Vulnerable Persons Resettlement Scheme,15
2016-01-01,2016,1,Scotland,S12000021,North Ayrshire,Vulnerable Persons Resettlement Scheme,11
2016-01-01,2016,1,Scotland,S12000044,North Lanarkshire,Vulnerable Persons Resettlement Scheme,8
2016-01-01,2016,1,Scotland,S12000038,Renfrewshire,Vulnerable Persons Resettlement Scheme,25
2016-01-01,2016,1,Scotland,S12000026,Scottish Borders,Vulnerable Persons Resettlement Scheme,11
2016-01-01,2016,1,Scotland,S12000030,Stirling,Vulnerable Persons Resettlement Scheme,8
2016-01-01,2016,1,Scotland,S12000040,West Lothian,Vulnerable Persons Resettlement Scheme,7
2016-01-01,2016,1,South East,E07000105,Ashford,Vulnerable Persons Resettlement Scheme,8
2016-01-01,2016,1,South East,E06000043,Brighton and Hove,Vulnerable Persons Resettlement Scheme,4
2016-01-01,2016,1,South East,E07000226,Crawley,Vulnerable Persons Resettlement Scheme,4
2016-01-01,2016,1,South East,E07000228,Mid Sussex,Vulnerable Persons Resettlement Scheme,3
2016-01-01,2016,1,South East,E06000044,Portsmouth,Vulnerable Persons Resettlement Scheme,5
2016-01-01,2016,1,South East,E06000037,West Berkshire,Vulnerable Persons Resettlement Scheme,6
2016-01-01,2016,1,South East,E07000217,Woking,Vulnerable Persons Resettlement Scheme,11
2016-01-01,2016,1,South West,E06000022,Bath and North East Somerset,Vulnerable Persons Resettlement Scheme,18
2016-01-01,2016,1,South West,E06000023,"Bristol, City of",Vulnerable Persons Resettlement Scheme,14
2016-01-01,2016,1,South West,E06000052,Cornwall,Vulnerable Persons Resettlement Scheme,8
2016-01-01,2016,1,South West,E07000081,Gloucester,Vulnerable Persons Resettlement Scheme,5
2016-01-01,2016,1,South West,E07000187,Mendip,Vulnerable Persons Resettlement Scheme,6
2016-01-01,2016,1,South West,E06000026,Plymouth,Vulnerable Persons Resettlement Scheme,4
2016-01-01,2016,1,South West,E07000189,South Somerset,Vulnerable Persons Resettlement Scheme,8
2016-01-01,2016,1,South West,E07000190,Taunton Deane,Vulnerable Persons Resettlement Scheme,4
2016-01-01,2016,1,Wales,W06000018,Caerphilly,Vulnerable Persons Resettlement Scheme,4
2016-01-01,2016,1,Wales,W06000012,Neath Port Talbot,Vulnerable Persons Resettlement Scheme,5
2016-01-01,2016,1,Wales,W06000011,Swansea,Vulnerable Persons Resettlement Scheme,24
2016-01-01,2016,1,West Midlands,E08000025,Birmingham,Vulnerable Persons Resettlement Scheme,35
2016-01-01,2016,1,West Midlands,E08000026,Coventry,Vulnerable Persons Resettlement Scheme,42
2016-01-01,2016,1,West Midlands,E07000197,Stafford,Vulnerable Persons Resettlement Scheme,10
2016-01-01,2016,1,Yorkshire and The Humber,E08000032,Bradford,Vulnerable Persons Resettlement Scheme,2
2016-01-01,2016,1,Yorkshire and The Humber,E08000019,Sheffield,Vulnerable Persons Resettlement Scheme,17
2016-04-01,2016,2,East Midlands,E07000172,Broxtowe,Vulnerable Persons Resettlement Scheme,6
2016-04-01,2016,2,East Midlands,E06000016,Leicester,Vulnerable Persons Resettlement Scheme,17
2016-04-01,2016,2,East Midlands,E06000018,Nottingham,Vulnerable Persons Resettlement Scheme,18
2016-04-01,2016,2,East Midlands,E07000176,Rushcliffe,Vulnerable Persons Resettlement Scheme,6
2016-04-01,2016,2,East of England,E06000055,Bedford,Vulnerable Persons Resettlement Scheme,5
2016-04-01,2016,2,East of England,E07000071,Colchester,Vulnerable Persons Resettlement Scheme,4
2016-04-01,2016,2,East of England,E07000202,Ipswich,Vulnerable Persons Resettlement Scheme,11
2016-04-01,2016,2,East of England,E07000240,St Albans,Vulnerable Persons Resettlement Scheme,6
2016-04-01,2016,2,East of England,E07000243,Stevenage,Vulnerable Persons Resettlement Scheme,5
2016-04-01,2016,2,East of England,E07000103,Watford,Vulnerable Persons Resettlement Scheme,11
2016-04-01,2016,2,London,E09000003,Barnet,Vulnerable Persons Resettlement Scheme,8
2016-04-01,2016,2,London,E09000007,Camden,Vulnerable Persons Resettlement Scheme,16
2016-04-01,2016,2,London,E09000001,City of London,Vulnerable Persons Resettlement Scheme,3
2016-04-01,2016,2,London,E09000019,Islington,Vulnerable Persons Resettlement Scheme,11
2016-04-01,2016,2,London,E09000022,Lambeth,Vulnerable Persons Resettlement Scheme,14
2016-04-01,2016,2,London,E09000025,Newham,Vulnerable Persons Resettlement Scheme,12
2016-04-01,2016,2,North East,E06000047,County Durham,Vulnerable Persons Resettlement Scheme,28
2016-04-01,2016,2,North East,E06000005,Darlington,Vulnerable Persons Resettlement Scheme,13
2016-04-01,2016,2,North East,E08000037,Gateshead,Vulnerable Persons Resettlement Scheme,45
2016-04-01,2016,2,North East,E06000001,Hartlepool,Vulnerable Persons Resettlement Scheme,26
2016-04-01,2016,2,North East,E08000021,Newcastle upon Tyne,Vulnerable Persons Resettlement Scheme,18
2016-04-01,2016,2,North East,E08000022,North Tyneside,Vulnerable Persons Resettlement Scheme,22
2016-04-01,2016,2,North East,E06000003,Redcar and Cleveland,Vulnerable Persons Resettlement Scheme,34
2016-04-01,2016,2,Northern Ireland,N09000002,"Armagh City, Banbridge and Craigavon",Vulnerable Persons Resettlement Scheme,57
2016-04-01,2016,2,Northern Ireland,N09000005,Derry City and Strabane,Vulnerable Persons Resettlement Scheme,47
2016-04-01,2016,2,Scotland,S12000034,Aberdeenshire,Vulnerable Persons Resettlement Scheme,3
2016-04-01,2016,2,Scotland,S12000036,City of Edinburgh,Vulnerable Persons Resettlement Scheme,30
2016-04-01,2016,2,Scotland,S12000005,Clackmannanshire,Vulnerable Persons Resettlement Scheme,25
2016-04-01,2016,2,Scotland,S12000006,Dumfries and Galloway,Vulnerable Persons Resettlement Scheme,18
2016-04-01,2016,2,Scotland,S12000042,Dundee City,Vulnerable Persons Resettlement Scheme,13
2016-04-01,2016,2,Scotland,S12000010,East Lothian,Vulnerable Persons Resettlement Scheme,9
2016-04-01,2016,2,Scotland,S12000011,East Renfrewshire,Vulnerable Persons Resettlement Scheme,5
2016-04-01,2016,2,Scotland,S12000014,Falkirk,Vulnerable Persons Resettlement Scheme,13
2016-04-01,2016,2,Scotland,S12000015,Fife,Vulnerable Persons Resettlement Scheme,1
2016-04-01,2016,2,Scotland,S12000046,Glasgow City,Vulnerable Persons Resettlement Scheme,21
2016-04-01,2016,2,Scotland,S12000017,Highland,Vulnerable Persons Resettlement Scheme,23
2016-04-01,2016,2,Scotland,S12000018,Inverclyde,Vulnerable Persons Resettlement Scheme,9
2016-04-01,2016,2,Scotland,S12000019,Midlothian,Vulnerable Persons Resettlement Scheme,3
2016-04-01,2016,2,Scotland,S12000021,North Ayrshire,Vulnerable Persons Resettlement Scheme,8
2016-04-01,2016,2,Scotland,S12000044,North Lanarkshire,Vulnerable Persons Resettlement Scheme,10
2016-04-01,2016,2,Scotland,S12000038,Renfrewshire,Vulnerable Persons Resettlement Scheme,12
2016-04-01,2016,2,Scotland,S12000028,South Ayrshire,Vulnerable Persons Resettlement Scheme,7
2016-04-01,2016,2,Scotland,S12000029,South Lanarkshire,Vulnerable Persons Resettlement Scheme,22
2016-04-01,2016,2,Scotland,S12000040,West Lothian,Vulnerable Persons Resettlement Scheme,17
2016-04-01,2016,2,South East,E07000105,Ashford,Vulnerable Persons Resettlement Scheme,5
2016-04-01,2016,2,South East,E07000226,Crawley,Vulnerable Persons Resettlement Scheme,5
2016-04-01,2016,2,South East,E07000085,East Hampshire,Vulnerable Persons Resettlement Scheme,12
2016-04-01,2016,2,South East,E07000209,Guildford,Vulnerable Persons Resettlement Scheme,4
2016-04-01,2016,2,South East,E06000042,Milton Keynes,Vulnerable Persons Resettlement Scheme,12
2016-04-01,2016,2,South East,E07000210,Mole Valley,Vulnerable Persons Resettlement Scheme,6
2016-04-01,2016,2,South East,E07000178,Oxford,Vulnerable Persons Resettlement Scheme,12
2016-04-01,2016,2,South East,E07000211,Reigate and Banstead,Vulnerable Persons Resettlement Scheme,3
2016-04-01,2016,2,South East,E06000045,Southampton,Vulnerable Persons Resettlement Scheme,3
2016-04-01,2016,2,South East,E07000093,Test Valley,Vulnerable Persons Resettlement Scheme,2
2016-04-01,2016,2,South East,E07000115,Tonbridge and Malling,Vulnerable Persons Resettlement Scheme,2
2016-04-01,2016,2,South East,E07000181,West Oxfordshire,Vulnerable Persons Resettlement Scheme,10
2016-04-01,2016,2,South East,E06000040,Windsor and Maidenhead,Vulnerable Persons Resettlement Scheme,3
2016-04-01,2016,2,South East,E07000217,Woking,Vulnerable Persons Resettlement Scheme,5
2016-04-01,2016,2,South West,E06000023,"Bristol, City of",Vulnerable Persons Resettlement Scheme,4
2016-04-01,2016,2,South West,E07000078,Cheltenham,Vulnerable Persons Resettlement Scheme,4
2016-04-01,2016,2,South West,E06000052,Cornwall,Vulnerable Persons Resettlement Scheme,5
2016-04-01,2016,2,South West,E07000079,Cotswold,Vulnerable Persons Resettlement Scheme,6
2016-04-01,2016,2,South West,E07000041,Exeter,Vulnerable Persons Resettlement Scheme,6
2016-04-01,2016,2,South West,E07000081,Gloucester,Vulnerable Persons Resettlement Scheme,6
2016-04-01,2016,2,South West,E07000082,Stroud,Vulnerable Persons Resettlement Scheme,5
2016-04-01,2016,2,South West,E07000190,Taunton Deane,Vulnerable Persons Resettlement Scheme,3
2016-04-01,2016,2,South West,E07000045,Teignbridge,Vulnerable Persons Resettlement Scheme,4
2016-04-01,2016,2,South West,E06000054,Wiltshire,Vulnerable Persons Resettlement Scheme,14
2016-04-01,2016,2,Wales,W06000019,Blaenau Gwent,Vulnerable Persons Resettlement Scheme,5
2016-04-01,2016,2,Wales,W06000010,Carmarthenshire,Vulnerable Persons Resettlement Scheme,5
2016-04-01,2016,2,Wales,W06000008,Ceredigion,Vulnerable Persons Resettlement Scheme,1
2016-04-01,2016,2,Wales,W06000016,Rhondda Cynon Taf,Vulnerable Persons Resettlement Scheme,18
2016-04-01,2016,2,Wales,W06000014,Vale of Glamorgan,Vulnerable Persons Resettlement Scheme,5
2016-04-01,2016,2,West Midlands,E08000025,Birmingham,Vulnerable Persons Resettlement Scheme,6
2016-04-01,2016,2,West Midlands,E08000026,Coventry,Vulnerable Persons Resettlement Scheme,23
2016-04-01,2016,2,West Midlands,E08000027,Dudley,Vulnerable Persons Resettlement Scheme,10
2016-04-01,2016,2,West Midlands,E07000195,Newcastle-under-Lyme,Vulnerable Persons Resettlement Scheme,9
2016-04-01,2016,2,West Midlands,E07000236,Redditch,Vulnerable Persons Resettlement Scheme,8
2016-04-01,2016,2,West Midlands,E06000051,Shropshire,Vulnerable Persons Resettlement Scheme,20
2016-04-01,2016,2,West Midlands,E08000029,Solihull,Vulnerable Persons Resettlement Scheme,10
2016-04-01,2016,2,West Midlands,E07000197,Stafford,Vulnerable Persons Resettlement Scheme,9
2016-04-01,2016,2,West Midlands,E06000021,Stoke-on-Trent,Vulnerable Persons Resettlement Scheme,20
2016-04-01,2016,2,West Midlands,E06000020,Telford and Wrekin,Vulnerable Persons Resettlement Scheme,5
2016-04-01,2016,2,Yorkshire and The Humber,E08000033,Calderdale,Vulnerable Persons Resettlement Scheme,8
2016-04-01,2016,2,Yorkshire and The Humber,E08000034,Kirklees,Vulnerable Persons Resettlement Scheme,6
2016-04-01,2016,2,Yorkshire and The Humber,E08000035,Leeds,Vulnerable Persons Resettlement Scheme,29
2016-04-01,2016,2,Yorkshire and The Humber,E08000019,Sheffield,Vulnerable Persons Resettlement Scheme,4
2016-04-01,2016,2,Yorkshire and The Humber,E06000014,York,Vulnerable Persons Resettlement Scheme,10
2016-07-01,2016,3,East Midlands,E07000172,Broxtowe,Vulnerable Persons Resettlement Scheme,5
2016-07-01,2016,3,East Midlands,E07000130,Charnwood,Vulnerable Persons Resettlement Scheme,10
2016-07-01,2016,3,East Midlands,E07000173,Gedling,Vulnerable Persons Resettlement Scheme,5
2016-07-01,2016,3,East Midlands,E06000016,Leicester,Vulnerable Persons Resettlement Scheme,15
2016-07-01,2016,3,East Midlands,E06000018,Nottingham,Vulnerable Persons Resettlement Scheme,6
2016-07-01,2016,3,East of England,E06000055,Bedford,Vulnerable Persons Resettlement Scheme,5
2016-07-01,2016,3,East of England,E07000008,Cambridge,Vulnerable Persons Resettlement Scheme,11
2016-07-01,2016,3,East of England,E06000056,Central Bedfordshire,Vulnerable Persons Resettlement Scheme,11
2016-07-01,2016,3,East of England,E07000071,Colchester,Vulnerable Persons Resettlement Scheme,19
2016-07-01,2016,3,East of England,E07000096,Dacorum,Vulnerable Persons Resettlement Scheme,10
2016-07-01,2016,3,East of England,E07000242,East Hertfordshire,Vulnerable Persons Resettlement Scheme,3
2016-07-01,2016,3,East of England,E07000072,Epping Forest,Vulnerable Persons Resettlement Scheme,10
2016-07-01,2016,3,East of England,E07000202,Ipswich,Vulnerable Persons Resettlement Scheme,13
2016-07-01,2016,3,East of England,E07000099,North Hertfordshire,Vulnerable Persons Resettlement Scheme,9
2016-07-01,2016,3,East of England,E06000031,Peterborough,Vulnerable Persons Resettlement Scheme,23
2016-07-01,2016,3,East of England,E06000033,Southend-on-Sea,Vulnerable Persons Resettlement Scheme,9
2016-07-01,2016,3,East of England,E07000240,St Albans,Vulnerable Persons Resettlement Scheme,6
2016-07-01,2016,3,East of England,E07000076,Tendring,Vulnerable Persons Resettlement Scheme,5
2016-07-01,2016,3,East of England,E07000102,Three Rivers,Vulnerable Persons Resettlement Scheme,10
2016-07-01,2016,3,East of England,E07000077,Uttlesford,Vulnerable Persons Resettlement Scheme,6
2016-07-01,2016,3,London,E09000003,Barnet,Vulnerable Persons Resettlement Scheme,17
2016-07-01,2016,3,London,E09000007,Camden,Vulnerable Persons Resettlement Scheme,17
2016-07-01,2016,3,London,E09000001,City of London,Vulnerable Persons Resettlement Scheme,4
2016-07-01,2016,3,London,E09000012,Hackney,Vulnerable Persons Resettlement Scheme,7
2016-07-01,2016,3,London,E09000013,Hammersmith and Fulham,Vulnerable Persons Resettlement Scheme,3
2016-07-01,2016,3,London,E09000020,Kensington and Chelsea,Vulnerable Persons Resettlement Scheme,3
2016-07-01,2016,3,London,E09000021,Kingston upon Thames,Vulnerable Persons Resettlement Scheme,5
2016-07-01,2016,3,London,E09000022,Lambeth,Vulnerable Persons Resettlement Scheme,6
2016-07-01,2016,3,London,E09000025,Newham,Vulnerable Persons Resettlement Scheme,14
2016-07-01,2016,3,North East,E06000005,Darlington,Vulnerable Persons Resettlement Scheme,2
2016-07-01,2016,3,North East,E08000037,Gateshead,Vulnerable Persons Resettlement Scheme,14
2016-07-01,2016,3,North West,E06000009,Blackpool,Vulnerable Persons Resettlement Scheme,56
2016-07-01,2016,3,North West,E08000011,Knowsley,Vulnerable Persons Resettlement Scheme,25
2016-07-01,2016,3,North West,E08000012,Liverpool,Vulnerable Persons Resettlement Scheme,1
2016-07-01,2016,3,North West,E07000122,Pendle,Vulnerable Persons Resettlement Scheme,30
2016-07-01,2016,3,North West,E07000123,Preston,Vulnerable Persons Resettlement Scheme,22
2016-07-01,2016,3,North West,E07000126,South Ribble,Vulnerable Persons Resettlement Scheme,19
2016-07-01,2016,3,North West,E08000008,Tameside,Vulnerable Persons Resettlement Scheme,10
2016-07-01,2016,3,Northern Ireland,N09000011,Ards and North Down,Vulnerable Persons Resettlement Scheme,15
2016-07-01,2016,3,Northern Ireland,N09000003,Belfast,Vulnerable Persons Resettlement Scheme,40
2016-07-01,2016,3,Northern Ireland,N09000007,Lisburn and Castlereagh,Vulnerable Persons Resettlement Scheme,6
2016-07-01,2016,3,Northern Ireland,N09000010,"Newry, Mourne and Down",Vulnerable Persons Resettlement Scheme,5
2016-07-01,2016,3,Scotland,S12000033,Aberdeen City,Vulnerable Persons Resettlement Scheme,15
2016-07-01,2016,3,Scotland,S12000034,Aberdeenshire,Vulnerable Persons Resettlement Scheme,14
2016-07-01,2016,3,Scotland,S12000041,Angus,Vulnerable Persons Resettlement Scheme,12
2016-07-01,2016,3,Scotland,S12000035,Argyll and Bute,Vulnerable Persons Resettlement Scheme,3
2016-07-01,2016,3,Scotland,S12000036,City of Edinburgh,Vulnerable Persons Resettlement Scheme,18
2016-07-01,2016,3,Scotland,S12000005,Clackmannanshire,Vulnerable Persons Resettlement Scheme,7
2016-07-01,2016,3,Scotland,S12000042,Dundee City,Vulnerable Persons Resettlement Scheme,20
2016-07-01,2016,3,Scotland,S12000008,East Ayrshire,Vulnerable Persons Resettlement Scheme,4
2016-07-01,2016,3,Scotland,S12000010,East Lothian,Vulnerable Persons Resettlement Scheme,3
2016-07-01,2016,3,Scotland,S12000011,East Renfrewshire,Vulnerable Persons Resettlement Scheme,5
2016-07-01,2016,3,Scotland,S12000014,Falkirk,Vulnerable Persons Resettlement Scheme,6
2016-07-01,2016,3,Scotland,S12000015,Fife,Vulnerable Persons Resettlement Scheme,21
2016-07-01,2016,3,Scotland,S12000046,Glasgow City,Vulnerable Persons Resettlement Scheme,36
2016-07-01,2016,3,Scotland,S12000017,Highland,Vulnerable Persons Resettlement Scheme,6
2016-07-01,2016,3,Scotland,S12000018,Inverclyde,Vulnerable Persons Resettlement Scheme,2
2016-07-01,2016,3,Scotland,S12000019,Midlothian,Vulnerable Persons Resettlement Scheme,9
2016-07-01,2016,3,Scotland,S12000020,Moray,Vulnerable Persons Resettlement Scheme,4
2016-07-01,2016,3,Scotland,S12000013,Na h-Eileanan Siar,Vulnerable Persons Resettlement Scheme,8
2016-07-01,2016,3,Scotland,S12000021,North Ayrshire,Vulnerable Persons Resettlement Scheme,8
2016-07-01,2016,3,Scotland,S12000044,North Lanarkshire,Vulnerable Persons Resettlement Scheme,26
2016-07-01,2016,3,Scotland,S12000024,Perth and Kinross,Vulnerable Persons Resettlement Scheme,7
2016-07-01,2016,3,Scotland,S12000028,South Ayrshire,Vulnerable Persons Resettlement Scheme,5
2016-07-01,2016,3,Scotland,S12000029,South Lanarkshire,Vulnerable Persons Resettlement Scheme,13
2016-07-01,2016,3,Scotland,S12000039,West Dunbartonshire,Vulnerable Persons Resettlement Scheme,32
2016-07-01,2016,3,Scotland,S12000040,West Lothian,Vulnerable Persons Resettlement Scheme,1
2016-07-01,2016,3,South East,E07000105,Ashford,Vulnerable Persons Resettlement Scheme,6
2016-07-01,2016,3,South East,E07000084,Basingstoke and Deane,Vulnerable Persons Resettlement Scheme,2
2016-07-01,2016,3,South East,E06000043,Brighton and Hove,Vulnerable Persons Resettlement Scheme,4
2016-07-01,2016,3,South East,E07000106,Canterbury,Vulnerable Persons Resettlement Scheme,7
2016-07-01,2016,3,South East,E07000225,Chichester,Vulnerable Persons Resettlement Scheme,3
2016-07-01,2016,3,South East,E07000108,Dover,Vulnerable Persons Resettlement Scheme,10
2016-07-01,2016,3,South East,E07000209,Guildford,Vulnerable Persons Resettlement Scheme,4
2016-07-01,2016,3,South East,E07000227,Horsham,Vulnerable Persons Resettlement Scheme,8
2016-07-01,2016,3,South East,E06000042,Milton Keynes,Vulnerable Persons Resettlement Scheme,18
